,pair_id,similarity_alg,relation,scaled_similarity_worker,scaled_similarity_worker_docset
13,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-002672-2019_Tender_002672-2019_td,2,12,1.668638036005838,2.0552979339951283
14,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-007397-2019_Tender_007397-2019_td,2,10,0.8346393605585203,1.3052871248448596
15,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-011742-2019_Tender_011742-2019_td,2,17,3.661319337734042,3.0676171759247595
16,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-011869-2019_Tender_011869-2019_td,3,3,3.6394247298762625,3.303843499338792
17,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-012224-2019_Tender_012224-2019_td,2,15,0.8827133342492887,1.2968053265491941
18,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-038622-2019_Tender_038622-2019_td,3,2,2.1612433976652015,2.1612433976652015
19,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-046386-2019_Tender_046386-2019_td,1,28,0.757968106444189,1.2697648117916351
20,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-096007-2019_Tender_096007-2019_td,3,4,1.579138090682145,1.8822051329044234
21,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0009-DN379053-2_Tender_DN379053-2,2,14,1.7746921698837703,1.7746921698837703
22,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0022-FEB284721_Tender_FEB284721,1,26,1.0567719790780055,1.4190259031262091
23,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0022-FEB285290_Tender_FEB285290,1,25,3.6761967991226556,3.5873833537879722
24,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0022-JAN280239_Tender_JAN280239,3,1,60.63744851553509,20.28846477270002
25,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0133-002521-2019_Tender_002521-2019_td,0,34,0.7049265024855749,1.2697648117916351
26,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0133-011876-2019_Tender_011876-2019_td,3,3,57.73697651181078,41.683609774023836
27,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0009-DN398295-1_Tender_DN398295-1,2,16,1.4963060620640634,1.9216012370182085
28,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0022-FEB285222_Tender_FEB285222,1,26,0.8827133342492887,1.2697648117916351
29,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0022-FEB285619_Tender_FEB285619,1,25,0.757968106444189,1.2832850691704145
30,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0022-JAN281686_Tender_JAN281686,2,15,1.2242977133758015,1.5376484071784402
31,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0133-012216-2019_Tender_012216-2019_td,2,14,1.830840117684636,1.8728023844599613
32,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0133-025935-2019_Tender_025935-2019_td,2,13,0.757968106444189,1.2536967565390524
33,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0133-132773-2019_Tender_132773-2019_td,3,4,1.5251455408527665,1.5251455408527665
34,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0009-DN341148-4_Tender_DN341148-4,2,12,2.5380642495889365,2.447401177872119
35,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0009-DN359933-1_Tender_DN359933-1,2,14,1.2084769495605345,1.7724440980541174
36,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0009-DN400255-1_Tender_DN400255-1,3,1,10.409519402314501,10.409519402314501
37,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0020-norfolkcc_1436_Tender_norfolkcc_1436,2,7,2.647948176244578,2.872595866861991
38,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-FEB284874_Tender_FEB284874,2,10,3.9254055066377536,3.9254055066377536
39,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-FEB285608_Tender_FEB285608,1,27,2.000600086229534,1.7325009841344516
40,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-FEB285761_Tender_FEB285761,1,26,0.757968106444189,1.2828579399917714
41,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-FEB285930_Tender_FEB285930,1,25,0.8827133342492887,1.2968053265491941
42,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-JAN342482_Tender_JAN342482,2,18,0.8203407203467388,1.2832850691704145
43,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-MAR286425_Tender_MAR286425,2,22,3.6761967991226556,3.1895050019477242
44,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0117-140049_Tender_140049,2,8,3.169732005980363,2.360917355809009
45,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0117-146519_Tender_146519,2,15,0.8827133342492887,1.2697648117916354
46,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0133-002154-2019_Tender_002154-2019_td,2,16,0.8203407203467388,1.2697648117916351
47,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0133-016480-2019_Tender_016480-2019_td,2,9,2.526875192305412,2.8321237059005493
48,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0133-016797-2019_Tender_016797-2019_td,2,11,9.224294802291546,7.62572770426383
49,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0133-030682-2019_Tender_030682-2019_td,2,13,2.1341253630888453,1.6084191552447558
50,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0133-077155-2019_Tender_077155-2019_td,1,29,5.988883649335856,4.834385570419945
51,ocds-0c46vo-0005-41036_Tender_41036ocds-0c46vo-0022-FEB284720_Tender_FEB284720,2,14,37.89840532220944,14.812011405798625
52,ocds-0c46vo-0005-41036_Tender_41036ocds-0c46vo-0022-FEB285611_Tender_FEB285611,2,7,2.2516579128936685,2.4171927852099726
